Date,Open,High,Low,Close,Volume
5/29/2024,113.05,115.49,110.9,114.83,55744193
5/30/2024,114.65,115.82,109.66,110.5,48735033
5/31/2024,112.52,112.72,106.94,109.63,61326250
6/3/2024,113.62,115,112,115,43839176
6/4/2024,115.72,116.6,114.05,116.44,40332401
6/5/2024,118.37,122.45,117.47,122.44,52840178
6/6/2024,124.05,125.59,118.32,121,66469619
6/7/2024,119.77,121.69,118.02,120.89,41238580
6/10/2024,120.37,123.1,117.01,121.79,314162650
6/11/2024,121.77,122.87,118.74,120.91,222551158
6/12/2024,123.06,126.88,122.57,125.2,299595001
6/13/2024,129.39,129.8,127.16,129.61,260704537
6/14/2024,129.96,132.84,128.32,131.88,309320376
6/17/2024,132.99,133.73,129.58,130.98,288504444
6/18/2024,131.14,136.33,130.69,135.58,294335054
6/20/2024,139.8,140.76,129.52,130.78,517768425
6/21/2024,127.12,130.63,124.3,126.57,655484664
6/24/2024,123.24,124.46,118.04,118.11,476060866
6/25/2024,121.2,126.5,119.32,126.09,425787456
6/26/2024,126.13,128.12,122.6,126.4,362975918
6/27/2024,124.1,126.41,122.92,123.99,252571693
6/28/2024,124.58,127.71,122.75,123.54,315516740
7/1/2024,123.47,124.84,118.83,124.3,284885534
7/2/2024,121.13,123.41,121.03,122.67,218373969
7/3/2024,121.66,128.28,121.36,128.28,215748955
7/5/2024,127.38,128.85,125.68,125.83,214176689
7/8/2024,127.49,130.77,127.04,128.2,237677322
7/9/2024,130.35,133.82,128.65,131.38,287020820
7/10/2024,134.03,135.1,132.42,134.91,248978569
7/11/2024,135.75,136.15,127.05,127.4,374782738
7/12/2024,128.26,131.92,127.22,129.24,252680535
7/15/2024,130.56,131.39,127.18,128.44,208326164
7/16/2024,128.44,129.04,124.58,126.36,214769515
7/17/2024,121.35,121.85,116.72,117.99,390086189
7/18/2024,121.85,122.4,116.56,121.09,320979530
7/19/2024,120.35,121.6,117.37,117.93,217223800
7/22/2024,120.35,124.07,119.86,123.54,258068943
7/23/2024,122.78,124.69,122.1,122.59,173910983
7/24/2024,119.17,119.95,113.44,114.25,327776884
7/25/2024,113.04,116.63,106.3,112.28,460067019
7/26/2024,116.19,116.2,111.58,113.06,293399073
7/29/2024,113.69,116.28,111.3,111.59,248152068
7/30/2024,111.52,111.99,102.54,103.73,486833274
7/31/2024,112.9,118.34,110.88,117.02,473174182
8/1/2024,117.53,120.16,106.81,109.21,523462326
8/2/2024,103.76,108.72,101.37,107.27,482027464
8/5/2024,92.06,103.41,90.69,100.45,552842375
8/6/2024,103.84,107.71,100.55,104.25,409012089
8/7/2024,107.81,108.8,98.69,98.91,411440423
8/8/2024,102,105.5,97.52,104.97,391910023
8/9/2024,105.64,106.6,103.43,104.75,290844157
8/12/2024,106.32,111.07,106.26,109.02,325559870
8/13/2024,112.44,116.23,111.58,116.14,312646660
8/14/2024,118.53,118.6,114.07,118.08,339246407
8/15/2024,118.76,123.24,117.47,122.86,318086673
8/16/2024,121.94,125,121.18,124.58,302589872
8/19/2024,124.28,130,123.42,130,318333577
8/20/2024,128.4,129.88,125.89,127.25,300087415
8/21/2024,127.32,129.35,126.66,128.5,257883572
8/22/2024,130.02,130.75,123.1,123.74,376189076
8/23/2024,125.86,129.6,125.22,129.37,323230332
8/26/2024,129.57,131.26,124.37,126.46,331964672
8/27/2024,125.05,129.2,123.88,128.3,303134573
8/28/2024,128.12,128.33,122.64,125.61,448101115
8/29/2024,121.36,124.43,116.71,117.59,453023305
8/30/2024,119.53,121.75,117.22,119.37,333751583
9/3/2024,116.01,116.21,107.29,108,477155100
9/4/2024,105.41,113.27,104.12,106.21,372470291
9/5/2024,104.99,109.65,104.76,107.21,306850696
9/6/2024,108.04,108.15,100.95,102.83,413638098
9/9/2024,104.88,106.55,103.69,106.47,273912015
9/10/2024,107.81,109.4,104.95,108.1,268283736
9/11/2024,109.39,117.18,107.42,116.91,409322977
